date,type,registration,operator,fatalities,location,country,cat,year
17-Apr-99,Raytheon Beechjet 400A,N400VG,Pacific Aeromotive,0.0,"Beckley Airport,...",USA,A1,1999
22-Apr-99,Let L-410UVP,YV-956C,H̩lica,0.0,near Cl̩cy,France,A1,1999
22-Apr-99,Boeing 727-23,ZS-IJE,"Million Air Charter, op.for Zimbabwe Express Airlines",0.0,Johannesburg,South Africa,A1,1999
23-Apr-99,DHC-6 Twin Otter 200,N719AS,Samoa Aviation,0.0,Fituita Airport ...,American Samoa,A2,1999
27-Apr-99,DHC-3 Otter,N3125N,40-Mile Air,0.0,"near Healy, AK",USA,A2,1999
01-May-99,DHC-3 Otter,C-FASV,Points North Air Services,0.0,"Waterfound Lake, SK",Canada,A1,1999
06-May-99,Canadair Challenger 601-3R,N347BA,Boeing,0.0,Long Beach Airpo...,USA,A2,1999
08-May-99,DHC-6 Twin Otter 300,YJ-RV9,Vanair,7.0,near Port Vila,Vanuatu,A1,1999
08-May-99,Saab 340B,N232AE,American Eagle Airlines,0.0,New York-John F....,USA,A2,1999
10-May-99,Boeing 737-247,B-12001,Mexican AF,0.0,Loma Bonita Air ...,Mexico,A1,1999
12-May-99,Antonov An-26,D2-FBN,"Volga Atlantic Airlines, op.for Avita",0.0,near Luzamba,Angola,C1,1999
14-May-99,Beech B100 King Air,N924RM,Private,0.0,"Hickory Airport,...",USA,A2,1999
16-May-99,Antonov An-2R,SP-WLI,ZUA,0.0,Naser Abad,Iran,A1,1999
17-May-99,Boeing 737-2A6,CC-CYR,LADECO,0.0,Santiago-Arturo ...,Chile,O1,1999
17-May-99,Curtiss C-46F,CP-1319,CAMBA,0.0,El Paraiso Ranch,Bolivia,A2,1999
17-May-99,Beech 99A,N133BA,Bemidji Airlines,0.0,"Bemidji Airport,...",USA,A2,1999
19-May-99,Yakovlev Yak-40,TL-ACO,Centrafrican Airlines,0.0,Berb̩rati Airpo...,C.A.R.,A1,1999
22-May-99,Antonov An-2T,70301,Serbian Air Force,0.0,Leskovac,Serbia,C1,1999
22-May-99,Antonov An-2T,70374,Serbian Air Force,0.0,Leskovac,Serbia,C1,1999
22-May-99,Antonov An-2T,70375,Serbian Air Force,0.0,Leskovac,Serbia,C1,1999
24-May-99,DHC-4A Caribou,M21-05,Royal Malaysian AF,5.0,Kuching Airport ...,Malaysia,A1,1999
29-May-99,Let L-410UVP-E,5Y-LET,Malindi Air Services,2.0,Ol Kiombo,Kenya,A1,1999
??-MAY-1999,Antonov An-28,3C-KKY,Unknown,1.0,Unknown,Kenya,A1,1999
